c,a
,집에서 쉬는 중이라도 38도 이상의 고열이 지속되거나 증상이 심해지시면 콜센터나 보건소에 문의해주시기 바랍니다.
,
알겠습니다.,
안녕하세요. 거리두기에 대해 궁금한게 있는데요?,"네, 말씀하세요."
,
실내에서 환기만 제대로 하고 2m 유지만 제대로 하면 괜찮을까요?,환기는 실내 공기를 교체하여 공기중의 바이러스 농도를 낮춰주는 효과가 있습니다. 
,"실내 공간에서는 주기적이고 충분한 환기와 더불어 사람간 2m 거리 유지, 손씻기, 기침예절 등 개인위생수칙을 준수하는 것도 중요합니다."
,
그렇군요?,
그럼 마스크를 쓰고 있어도 거리두기가 중요한가요?,마스크 착용만으로 코로나 19 감염 전파를 완벽하게 예방할 수는 없습니다.
,따라서 마스크를 착용하셨더라도 사람간의 거리두기를 권장드립니다.
,
근데 지하철같은데는 자리가 붙어있잖아요.,
이런데서는 어떻게 해야하나요?,버스나 지하철등 대중교통을 이용하실 경우 가능한 한자리씩 띄어앉으시고 마주보지 않는 자리에 앉으시는 것을 권해드립니다.
,"불가피하게 자리가 붙어있거나 사람간의 거리두기가 어려운 경우, 반드시 마스크를 착용하시기 바랍니다."
,"또한, 다른 사람들과의 대화는 자제해주시기 바랍니다."
,
그럼 야외에서는 괜찮은가요?,야외에서는 실내 밀집된 곳 보다는 안전합니다.
,"다만, 최소 1m이상 거리두기를 하시고, 마스크착용을 부탁드립니다."
,
엘리베이터 같은곳에서는요?,"엘리베이터와같이 좁은 밀폐된 공간에 다수의 사람들이 이용하는 곳의 경우, 마스크를 필수로 착용하시고 대화는 자제해 주시기 바랍니다."
,"또한, 엘리베이터 버튼과 같이 사람의 손이 많이 닿는 곳을 만지신 경우, 손소독제를 사용하시거나 손씻기를 해주시기 바랍니다."
,
손 소독제 사용만으로 코로나 19 예방이 되나요?,알코올이 함유된 손 소독제를 사용하여 손을 소독하시면 코로나 19 감염을 예방할 수 있습니다.
,
소독제 사용 요령이 있나요?,손 소독제를 사용할 때도 손씻기와 같은 순서로 소독제가 완전히 마를 때 까지 손을 소독하시면 됩니다.
,
손씻기 요령을 알려주세요.,"손을 씻으실 땐, 흐르는 물에 비누로 30초 이상 꼼꼼하게 씻어주시기 바랍니다."
,특히나 손끝은 많이 간과하기 쉬운 부분이라 손끝도 깨끗하게 씻어주시기 바랍니다.
,
올바른 손씻기 6단계라는게 있던데 뭔가요?,손씻기를 6가지 단계로 나누어 하시면 되십니다.
,"처음은 손바닥, 두번쨰는 손톱, 세번째는 손가락 사이를 닦으시면 됩니다.,"
," 네번째는 두손을 모아서 씻으시고, 다섯번째는 엄지손가락을 손바닥에 대고 돌려서 씻은 후, 마지막으로 손톱 밑을 닦으시면 됩니다."
,
손을 얼마나 자주 씻어야 하나요?,자주 씻는것도 중요하지만 올바르게 씻는것이 가장 중요합니다. 
,아무리 5-6번을 씻어도 대충 씻으면 소용이 없기 때문입니다.
,
어떤 상황에서 손을 씻어주어야 하나요?,"일반적으로 화장실 이용 후나 귀가했을 때, 음식을 준비하거나 먹을 때 입니다."
,그리고 코를 풀거나 기침이나 재채기를 한 후에도 손에 바이러스가 남아있을 수 있으니 손을 씻어주는 편이 예방에 도움이 됩니다.
,
공공장소에 있는 비누는 쓰기 좀 그런데 써도 괜찮나요?,눈에 보이는 오염이나 이물질이 묻어있지 않다면 공공장소에 있는 비누를 사용해도 무방합니다.
,
좋은 정보 알려주셔서 감사합니다.,
손씻기말인데요?,"네, 무엇이 궁금하신가요?"
,
왜 30초 이상 씻어야 하나요?,
그냥 비누 묻혀서 깨끗해지면 몇초 씻는지는 상관없는거 아닌가요?,"손바닥과 손등, 손가락 사이사이에 있는 균들과 바이러스를 감소시키기 위해서는 30초 이상 씻어야 합니다."
,"질병관리본부에서 2019년도에 실험한 결과, 30초 이상 손을 꼼꼼히 씻을 때 세균이 거의 사라진 것을 확인 할 수 있었습니다."
,
그럼 그냥 물로만 씻을때는요?,
더러운게 묻지 않은 이상 그냥 물로만 씻어도 될 것 같은데요?,"물로만 씻은 경우, 상당수의 세군이 그대로 남아있는 것으로 실험 결과에 나타났습니다."
,그러나 올바르게 손씻기 6단계를 거쳐 손을 씻은 피실험자의 손에는 세균이 거의 사라졌다는 결과가 나왔습니다.
,
"그럼, 손씻기를 올바르게 하는 방법을 알려주세요.",처음에는 손바닥을 비벼서 손바닥을 닦습니다.
,두 번째로는 손가락을 깍지를 껴서 손등을 비벼줍니다.
,세 번째로는 손가락 사이사이를 비벼줍니다.
,네 번째로는 두 손을 모아 위 아래로 비벼줍니다.
,다섯번 쨰로는 엄지손가락을 손바닥에 세우고 비벼줍니다.
,마지막으로 나머지 네 손가락의 손톱 밑을 손바닥에 대고 돌려서 비벼줍니다.
,마지막까지 마치신 후 흐르는 물에 비누를 깨끗이 씻어주시면 됩니다.
,
"네, 오늘부터 알려주신 방법대로 해볼게요.","네, 올바른 손씻기로 감염병 예방에 도움이 되시길 바랍니다."
,
안녕하세요. 궁금한게 있는데요?,"네, 무엇이 궁금하신가요?"
,
휴지로 입을 가릴때랑 옷소매로 가리는거랑 어떤게 더 나은가요?,기침이나 재채기를 할 때 휴지로 입과 코를 가리시는 것이 좋습니다.
,"이때, 사용하신 휴지는 즉시 휴지통에 버리고 손을 씻으시고, 손을 씻지 못하는 상황에서는 손소독제를 이용하시기 바랍니다."
,
휴지가 없으면요?,갑자기 나오는 기침과 재채기의 경우 옷소매 안쪽으로 입과 코를 가리는 것 도한 충분히 도움이 됩니다.
,"마찬가지로 기침과 재채기를 하신 후, 손씻기나 손소독제 사용을 해주시기 바랍니다."
,
그럼 옷소매로 가리면 소매부분도 소독해야 하나요?,"기침이나 재채기 후에는 반드시 손을 씻고, 이물질이 묻어있는 옷소매는 만지지 않으시길 바랍니다."
,"그리고, 이물질이 묻었다고 하더라도 옷소매를 소독할 필요는 없으며, 귀가 후 세탁을 하시면 됩니다."
,
집에서도 마스크를 꼭 쓰고있어야 하나요?,"혼잡하지 않은 야외나 가정내, 개별공간에서는 마스크를 착용하지 않으셔도 됩니다."
,"다만, 열이 나거나 호흡기 증상이 있는 사람이 가족과 함께 생활하는 경우, 가정에서도 마스크 착용을 권해드립니다."
,
마스크 한 번 쓰고 버리기 아까운데 재사용해도 되나요?,"오염 우려가 적은 곳에서 일시적으로 사용하신 경우, 환기가 잘되는 깨끗한 곳에 보관하신 후, 동일인에 한하여 재사용이 가능합니다."
,
그럼 짧게 쓰면 몇 번 재사용 해도 상관없겠네요?,"그렇긴 하지만, 오염에 자주 노출 될 수록 바이러스 번식율이 높아지니 재사용은 가능한 한 번만 권해드립니다."
,
그렇군요. 알겠습니다.,"네, 감사합니다."
,
안녕하세요. 코로나에 환기를 자주 시키면 좋다고 들었는데요.,
황사나 미세먼지가 심한 날에는 어떻게 하면 되나요?,바깥공기가 나쁘다고 해서 환기를 전혀 하지 않으면 이산화탄소나 휘발성 유기화합물같은 안좋은 물질들이 실내에 축적되어 공기 질이 나빠집니다.
,따라서 미세먼지가 심한 날에도 환기를 주기적으로 하는 것을 권해드립니다.
,
공기청정기가 있는데 얘로 환기하면 안되나요?,공기청정기와 관계없이 주기적으로 환기를 해주시기 바랍니다.
,환기를 통해 코로나19 바이러스가 들어있는 침방울의 공기중 농도를 낮출 수 있기 때문입니다.
,
환기시키면 공기 통해서 전염될 수도 있지 않을까요?,"코로나19는 감염된 사람이 기침 또는 재채기를 했을떄 발생한 침방울이 다른사람의 호흡기로 들어가거나 손에 묻은 바이러스가 눈,코,입 등의 점막을 통해 침투하여 감염되는 것으로 알려져 있습니다."
,일상적인 생활에서 공기를 통한 코로나 19 감염이 되었다는 보고도 아직 없구요.
,따라서 공기중 전염은 안심하셔도 됩니다.
,
아파트 승강기 버튼에 향균필름 붙여놓는건 효과가 있나요?,향균필름이 뭍여져있다고 해도 많은 사람들이 만진 표면을 만지시면 손소독제를 쓰시거나 손씻기를 하셔야 합니다.
,
가정에서 할 수 있는 소독법에는 뭐가 있을까요?,가정에서 소독을 하실 때에는 환경부에서 승인하거나 신고된 제품을 사용하셔야 합니다.
,소독제 사용전에는 소독제 라벨에 쓰여있는 용량과 용법 등 권장사항을 반드시 읽고 사용시 준수해주시기 바랍니다.
,
소독제 많이 쓰다보면 인체에 해롭지 않나요?,"환기가 잘 되는 곳에서 사용법에 따라 소독액과 물을 희석하는 등 제조회사의 권장사항을 준수하신 경우, 건강에 미치는 영향은 걱정하지 않으셔도 됩니다."
,따라서 반드시 제조회사의 권장사항을 반드시 준수하여 사용해주시기 바랍니다.
,
알겠습니다.,
마스크 재사용에 대해 궁금한게 있는데요?,무엇이 궁금하신가요?
,
한 번 쓴 마스크에 소독제를 뿌려서 여러 번 써도 될까요?,마스크는 일반적으로 1회 사용을 권고합니다.
,"다만, 오염 우려가 적은 곳에서 일시적으로 사용하신 경우, 동일인에 한해 재사용 하실 수 있습니다."
,"그런데, 마스크에 소독제를 뿌리시는 경우, 소독제 흡입의 위험이 있습니다."
,"이때, 정전기 필터의 성능이 떨어지게 되므로, 헤어드라이기를 이용해 건조하시거나 전자레인지, 알코올 소독, 세탁은 권하지 않습니다."
,
"그렇군요, 그럼 앞으로 지인들과 대면모임은 못하는 건가요?","밀폐된 공간에서의 모임이나 활동, 사람들이 많은 장소에서의 모임은 최소화 하는 것이 좋습니다."
,"대면모임을 하게 되는 경우에는 모임 인원과 시간은 최소화하고, 음식점이나 카페에서의 생활 속 거리두기 실천 지침 등을 숙지하여 준수할 것을 권해드립니다."
,"또한, 답답하시더라도 대면모임 대신 가까운 사람들과 자주 통화하시거나 영상통화를 통해 관심과 정서적 관계를 유지하는 것도 관장드립니다."
,
코로나 19에 관한 루머를 접하게 되면 어떻게 하면 될까요?,"감염병의 경우, 의료분야가 사람들에게 생소한 분야일 뿐 아니라 직접 위협이 될 수 있는 상황이기 때문에 정보애 대한 민감성이 높을 수 밖에 없습니다."
,이러한 감염에 대한 불안감은 끊임없이 관련 정보를 추구하게 되는데요.
,"그러나, 불확실한 정보는 오히려 불안과 스트레스를 가중시키고, 올바른 판단을 어렵게 합니다. "
,따라서 정확한 정보를 필요한 만큼 얻는 것이 중요합니다.
,"확인되지 않은 정보나, 의심스러운 정보를 접하셨을 때에는 신뢰할 수 있는 출처인지를 먼저 확인시기 발합니다."
,부정확한 소문은 어디에다가도 공유하지 않으며 과도하게 미디어몰입을 하지 않도록 주의해주시기 바랍니다.
,
알겠습니다.,감사합니다.
,
독감백신이 코로나에 도움이 될까요?,아직 연구되지 않았습니다.
,
똑같은 바이러스 아닌가요?,아니요.
,
독감을 안맞아도 되는건가요?,"네, 아직 말씀드리기 어렵습니다."
,
예방법이 있을까요?,마스크를 착용해야 합니다.
,
마스크 밖에 없나요?,"네, 그렇습니다."
,
마스크 원리는 무엇이죠?,공기 중에 있는 비말을 차단하여 감염을 줄입니다.
,
실내에서는 효과적이겠네요?,네. 그렇습니다.
,
마스크 의무착용은 언제부터이죠?,11월 부터입니다.
,
벌금도 있나요?,벌금 3만원이 있습니다.
,
그거밖에 안되요?,네. 그렇습니다.
,
마스크가 지금 품절이래요,마스크 구매 안내해드리겠습니다.
,마스크를 사시려는 지역이 어디십니까?
,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하실 수 있습니다.
,
날짜를 확인해야는거네요.,네. 그렇습니다.
,
2개만 살 수 있어요?,현재 마스크 요일제를 실시하고 있습니다.
,
사용한 마수크를 또 써도 되는건가요?,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능하다고 안내하고 있습니다.
