,고객질문(요청),상담사답변
1021,코로나 확진자 수가 많다고 하던데 어느정도 되지요?,일상적 사생활이나 음식물 섭취등 불가피한경우에는 예외를 두고 있습니다.
1022,케이블 TV에 가니까 실시간으로 확진자 몇 명인지 나오던데요?,"집에 있을 때, 혼자 있을 떄, 가족들과 함께 있을 때를 의미합니다. "
1023,질병관리청에서 공식적으로 제공하는 정보가 없다. 그럼 사기 아닙니까?,주거를 같이 하는 사람이 아닌 사람과 같이 승차하고 있을 경우 마스크를 써야 합니다. 
1024,놀랍군요. 그렇다면 실시간 환자 수랑 사망자 수도 같이 공개 하던데 그것도 가짜일 확률이 높겠네요?,"마스크 착용시 호흡 곤란 및 건강 악화 우려가 있는 경우, 공무 수행, 생계 유지, 수영, 물놀이 중일 경우 등입니다."
1025,무슨 공식적인 정보를 믿고 확진자 수를 계산해야 한다는 말씀입니까?,"발열, 호흡기 증상이 있을 경우, 예외 상황이라도 반드시 써야 합니다. "
1026,조금 다른 질문 인데요. 흡연자가 코로나에 걸릴 확률이 높나요?,"사생활 공간인 집에서는 마스크를 쓰지 않아도 됩니다만, 가족 중 호흡기 증상이 있는 경우는 마스크 착용을 권장 합니다."
1027,코로나 백신이 나왔다고 하던요?,"24개월 미만 영유아의 경우 호흡기가 발달되지 않고, 마스크를 스스로 벗지 못 할 수있으므로 의무 착용 대상은 아닙니다."
1028,그럼 코로나도 이제 끝인가요?,"감염병 예방을 위해 마스크를 씌워야 하고, 쓰고 있는 동안은 보호자의 주의가 반드시 필요합니다."
1029,전혀 이해가 안되요 상담사님?,"호흡기 기저질환 환자, 마스크 착용시 건강이 악화될 수 있는 중증환자등은 예외를 인정하며, 전문의 소견에 의거해 예외를 인정할 수 있습니다."
1030,그럼 아직 팬데믹은 유효한가요?,"마스크를 벗어야만 진료 행위가 가능한 경우 마스크를 착용하지 않아도 됩니다만, 진료 전, 후에는 마스크를 착용해야 합니다."
1031,그럼 저는 어떻게 해야 하지요?,"개인 위생활동을 하는 경우 마스크를 착용하지 않아도 됩니다. 위생 활동 전, 후에는 역시 마스크를 착용해야 합니다."
1032,코로나 팬데믹은 언제 끝날 수 있을 까요? 궁금해요.,"생계 유지를 위한 활동, 공연 등에 출연하는 경우 예외를 인정합니다. 출연 전후에는 마스크를 써야하며, 출연자 이외 스테프는 마스크를 써야 합니다."
1033,"그렇다면, 코로나 백신은 언제 쯤 구경할 수 있을까요?","사적인 목적인 경우 마스크를 착용해야 하고, 공공기관 제출 목적의 사진 촬영인 경우 마스크 착용 예외를 인정합니다. 사적인 목적이라도 실외, 주변 2m 거리 내 가족 이외 다른 사람이 없을 경우 예외를 인정합니다."
1034,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,마스크를 벗어야만 본업 또는 생계유지가 가능한 경우로 보고 있습니다. 
1035,COV-19감염은 어떻게 진행되나요?,"사생활 공간인 집에서 촬영하거나, 혼자 촬영 , 또는 가족과 촬영하는 경우 마스크를 쓰지 않아도 됩니다. 실외에서는 2m 이내에 가족 이외의 다른 사람이 없을 경우 마스크를 쓰지 않아도 됩니다."
1036,"그럼, 감염을 어떻게 차단합니까?","사회적 거리두기 2단계에서는 워터파크, 계곡 출입의 자제를 권고하고 있습니다. 물속에서 하는 활동의 경우에는 마스크 예외를 인정하고 있습니다."
1037,115번감염자의 성함이 어떻게 되요?,"담배의 경우 기호식품으로 분류, 음식물 섭취에 해당하여 예외를 인정하고 있습니다. "
1038,왜그렇죠?,"야외 활동시 다른 사람과 2m 거리 두기가 가능할 경우는 안써도 됩니다만, 그렇지 못할 경우에는 써야 합니다."
1039,그게 문제가 됩니까?,"분할된 공간 내 혼자 있거나, 음식물 섭취, 보건, 위생활동등의 예외 상황이 아니라면 써야 합니다."
1040,안녕하십니까? 백신 개발은 언제쯤 완료되는지 문의드리고 싶어서요,"사업장에 혼자 있거나, 가족만 함께 있는 경우는 마스크를 쓰지 않아도 됩니다. "
1041,그럼 그 백신은 언제부터 접종받을 수 있죠?,코와 입을 동시에 가리지 않을경우 미착용한 것으로 보고 있습니다. 반드시 입과 코를 모두 가리시기 바랍니다.
1042,접종비는 얼마 정도로 측정되나요?,"식품 섭취를 할 때만 벗을 수 있고, 이전과 이후, 대화시에는 마스크를 착용해야 합니다. "
1043,질병관리청의 상담센터 맞나요?,오염되지 않도록 깨끗한 봉투에 넣어서 보관하는 것을 권장합니다.
1044,제가 일하는 현장에서 코로나 확진자가 나왔다고 합니다. 어떻게 해야 할지를 몰라서 연락드렸습니다. 어떻게 하면 되나요?,"노래방은 밀폐, 밀접, 밀집 특성을 가진 고위험 시설로 방문 자제를 권장하고 있습니다. 노래 부를때를 포함해서 반드시 마스크를 써야 합니다."
1045,"개인정보 누출되고 막 그러는거 아닙니까? 역학조사 처럼 개인정보 나오고, 나이 나오고, 공개되고 막 그러는 것이에요?","식약처가 의약외품으로 인정한 마스크를 권장합니다만, 면마스크까지는 착용이 인정됩니다."
1046,음… 저는 코로나 진단 검사를 받기 싫어요. 아프잖아요?,망사마스크는비말 차단 효과가 입증되지 않아 마스크 착용으로 인정하지 않습니다.
1047,코로나 관련해서 문의드릴려고 전화드렸는데요.,"모든 사람은 마스크 착용이 원칙이나 신랑 신부는 결혼식장 내에서 예외를 인정하고 있습니다. 단체 촬영시에는 모두 마스크 착용해야 하고, 신랑, 신부 양가 부모님에 한해 촬영시 예외를 인정합니다."
1048,코로나 확진자 수를 알고 싶어서 전화드렸는데요?,사회적 거리두기 1단계일 경우 행정 명령이 해제 될 예정입니다. 의무화 해제 이후에도 마스크 착용은 적극 권장 사항입니다.
1049,유튜브에서 실시간으로 확진자 몇 명 나오는지 알려주는 곳이 있어요. 이거 맞지 않나요?,"감염병예방및관리에관한법률 제49조제1항 제2의4호 위반으로 동법 83조4항에 따라 10만원 이하의 과태료가 부과될 수 있으며, 소용된 방역비용의 구상권이 청구될 수 있습니다."
1050,그럼 그것들이 모두 사기에요?,과태료는 명령을 위반한 개인에게 부과 되는 것으로 회사와는 무관합니다. 
1051,모두 거짓된 정보였다니. 그 곳에서는 환자 수랑 완치자 수까지 제공하고 있어요. 그럼 그것도 거짓 이겠네요?,"마스크를 쓰기 전에 흐르는 물과 비누로 손을 꼼꼼하게 씻고, 얼굴과 마스크사이에 틈이 없도록 해야 합니다."
1052,그럼 저는 어떤 정보를 믿고 확진자 수를 계산해야 하는 것인가요?,"마스크 안에 수건, 휴지등을 넣어서 착용하시면 안됩니다. 또한 마스크를 사용하는 동안에는 손으로 마스크를 만지시면 안됩니다. "
1053,조금 다른 질문 인데요. 흡연자가 코로나에 걸릴 확률이 높나요?,마스크를 만졌다면 흐르는 물에 비누로 손을 꼼꼼하게 씻어야 합니다. 
1054,코로나 백신이 나온 것이 맞아요?,"끈만 잡고 벗긴 후, 흐르는 물에 비누로 손을 씻으세요. "
1055,그럼 코로나도 이제 끝인가요?,바깥면을 안쪽으로 접어 끈으로 감고 소독제를 뿌려 종량제 봉투에 버리시면 됩니다.
1056,왜요?,면마스크는 물이 투과가 되기때문에 쓰시면 위험합니다. 반복노출 되신다면 안심할수 없습니다.
1057,"이럴수가…제가 실감이 안나서 그런데 정리 하자면, 코로나는 계속 될것이다 라는 건가요?",덴탈마스크는 방수가 되기 때문에 물이 묻지 않고 코로나19가 감염되어 있는 비말같은 바이러스 포함 액체를 막아줍니다.
1058,백신 개발 되었다고 엄청 좋아했는데. 아니네요?,황사 마스크 중 80 도 덴탈 마스크처럼 방수가 됩니다
1059,이 대 유행은 어제 쯤 끝날 수 있을 까요?,일반인에게 권유하기보다 코로나 감염 위험이있는 의사나 간호사에게 필요합니다
1060,그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,예 그렇습니다. 13일부터 마스크 착용이 의무화됩니다.
1061,그럼 우리나라는 뭐하고 있어요?,10만원의 과태료을 냅니다
1062,조금 특이한 코로나 관련 질문이 있는데요?,있습니다 한달간 계도 기간을 거쳐서 과태료를 물리게 됩니다
1063,기숙사에서 확진자가 나왔다는데 어떻게 해야하죠?,예 정해진 장소에서 마스크를 착용하셔야합니다.
1064,막 개인정보 털리고 그런건 아니겠지요?,"버스 지하철등의 대중교통 이용자 그리고 의료기관요양시설,주 야간 보호시설 이용자 종사자 모두 마스크를 착용하셔야 합니다."
1065,증상이 의심된다고 바로 보건소 가서 코로나 검사를 추천하시는 것은 너무하지 않나요? 가기 싫은데요?,예 그렇슴니다. 집회 시위장 역시 마스크를 착용해야하는 장소입니다.
1066,코로나 상담 센터 맞지요? 코로나에 대해서 궁금한 것이 있는데요. ,예 그렇습니다. 마스크 착용이 의무화 됩니다.
1067,질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,거리두기 단계에 따라서 마스크 미착용시 처벌 될수 있는 대상이 될수 있습니다
1068,인터넷에 보면 나오던데요. 사이트에서 제공하고 있던데요.,"진료와 검진을 할때 필요에 따라 마스크를 벗어야 할 경우나 호흡곤란이 우려되는 영유아, 노인 등은 의무착용 대상자에서 제외 됩니다."
1069,사기 정보라고 말씀하시는 겁니까?,마스크를 썼다고 하더라도 입과 코를 완전히 가리지 않으면 과태료부과 대상입니다.
1070,믿을 세상이 못되는 구만. 그럼 실시간 정보는 모두 것짓 이라고 보는 것이 맞겠네요?,예 지금 말씀하신 마스크는 허용대상 마스크입니다.
1071,상담원님이 저라면 어떻게 정보를 얻을려고 하겠어요?,인정되지 않습니다.
1072,잠시만요. 다른 문의가 있는데요. 흡연자는 코로나에 잘 감염되다는 것이 사실이에요?,아니요 인정되지 않습니다.
1073,인터넷 뉴스에서 코로나 백신 나왔다고 이제 코로나 없다고 마스크 벗고 다니는데 백신 진짜로 나온 것 맞아요?,예 다른 나라도 범칙금이 부과되고 있는 곳이 많습니다
1074,백신을 맞으면 되니까 코로나 바이러스에 대해서는 괜찮은 거죠?,"네, 올바른 마스크 착용법이 있습니다. "
1075,백신 개발 되었으면 끝 아니에요?,"우선, 착용하기 전, 흐르는 물에 비누로 손을 꼼꼼하게 씻어줘야 합니다."
1076,"이럴수가…제가 실감이 안나서 그런데 정리 하자면, 코로나는 계속 될것이다 라는 건가요?",받은 물 사용시 병균이 다시 묻을 수도 있어서 흐르는 물 사용을 권장드립니다. 
1077,그럼 지금 상태를 계속 유지해야 하는 것인가요?,"마스크로 입과 코를 완전히 가려서, 얼굴과 마스크 사이에 틈이 없도록 해야 합니다."
1078,코로나 팬데믹은 언제 끝날 수 있을 까요? 궁금해요.,끈을 귀에 걸기만 하면 얼굴과 마스크 사이에 틈이 있으면 그 사이로 병균이 들어올 수 있어서 완전히 틈이 없도록 해야 합니다.
1079,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",양 손가락으로 코편이 코에 밀착되도록 눌러주신 후에 안면에 밀착시켜 주세요
1080,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,"마스크안에 수건, 휴지 등을 넣어서 착용하시면 안됩니다. "
1081,질병관리청에 연락드리는데요. 상담센터니까 물어봐도 되죠?,"휴지 안에 있는 표백제 성분이 몸에 좋지 않으며, 휴지를 끼워 넣을 경우, 숨쉬기 어려워 질 수 있습니다."
1082,제가 있는 학원에서 코로나 의심환자가 나왔어요. 어떻게 해야하질가 막막한데 어떻게 하면 되나요?,마스크를 사용하는 동안 마스크를 만지시면 안됩니다. 
