q,a
그렇군요 빨리 신청해야겠네요,더 자세한건 주민센터에 문의 하시면 됩니다
선진국에서 코로나 백신 사재기 하고 있다는데 진짠가요? ,어떤 코로나 백신을 말씀하시는 건가요?
지금 만들어진거요.,현재 판매 중인 백신은 없습니다. 
기사에서 영국이랑 미국이랑 계약했다는 것 봤는데요.,미국이 제약사와 백신 공급 확보 계 약을 맺은 일은 있습니다 
그러면 지금 만들어진 건 아니고 만들게되면 공급받기로 계약 한건가요?,그렇습니다.
그럼 우리나라는요? ,우리나라는 아직 계약을 맺지 않았습니다.
우리나라도 미리 계약 해야 하는거 아닌가요? ,해외 백신 확보를 위한 논의가 이루어지고 있습니다. 
"빨리 계약을 해야지, 이러다 백신 있어도 다 뺏기고 하나도 못사는거 아니에요? ",1단게로 3000만명 분량의 백신을 확보한다는 계획이 있습니다. 
어느나라 백신이요?,아직 정해진 사항은 없습니다. 
미국이 백신 독점 못하게 막을 방법은 없는거예요?,WHO에서 공정한 과정을 통해 백신을 공급하자는 취지의 코백스 구상을 진행하고 있습니다. 
알겠습니다. ,"네, 더 궁금한 사항 없으심 상담 종료하겠습니다. "
내년 추석 전에 코로나 백신접종 기대라던데 진짜가요?,중앙방역대책본부에서 관련 내용 브리핑이 있었습니다.
정말 반가운 소식이네요.,그렇게 되기를 기대하고 있습니다. 
정확한 시기는 모르죠? ,"네, 예측입니다. "
접종 순서나 금액은요? ,논의 중입니다. 
우리나라 백신이에요? ,그것 또한 논의 중입니다. 
그럼 치료제는요? ,치료제 분야에도 성과가 있습니다. 
우와 임상실험까지 끝난거예요? ,"현재 임상 2,3상 진행과 임상1상 결과 분석 진행 중입니다. "
정말 다행이에요. ,희망을 가지고 항상 방역 열심히 해주시기 바랍니다. 
치료제 많이 개발되면 완치자 수 더 늘겠지요?,그럴것으로 예측됩니다. 
"네, 답변감사합니다. ",네 더 궁금한 것 없으신 상담 종료하겠습니다. 
코로나 백신 주사 관련해서 궁금한게 있어요. ,네 어떤 점이 궁금하신 가요? 
독감 백신은 의무적으로 다 맞는건 아니잖아요.,네 그렇습니다.
코로나 백신 개발되면 그거도 의무적으로 다 맞진 않나요?,아직 논의 중에 있습니다. 
이번에 독감백신 문제 생긴거 보니까 전국민 100% 맞을 양은 없나 보더라고요.,네 그렇습니다. 
국민 몇프로나 맞을 양이에요?,방역당국 입장은 전체 인구의 57%가량이 접종할 수 있는 독감 백신 물량으로도 충분하다고 판단하고 있습니다. 
코로나 백신도 그 정도면 될 것 같나요? ,아직 논의 중에 있습니다. 
다른 나라 접종 비율도 영향을 끼치나요? ,전 세계 인구가 백신 맞아야 종식될 것으로 예상됩니다. 
아직 먼 얘기 같네여.,백신 개발 및 확보를 위해 여러 노력 중입니다. 
올 겨울에 독감이랑 코로나랑 겹치면 병상확보도 그렇고 문제 많겠죠? ,코로나로 인한 거리두기가 독감 예방에도 효과를 낼 것이라 생각합니다. 
네 답변 감사합니다. ,네 더 궁금한 점 없으시면 상담 종료하겠습니다. 
예비신랑입니다. 제가 다음달에 결혼을 하는데 결혼식 진행할 수 있을까요?,축하드립니다. 말씀하시는 지역이 어디신가요?
서울입니다. ,서울은 현재 거리두기 2.5단계로 결혼식이 어려우십니다. 
"아이고, 그럼 저는 어쩌나요, ",죄송합니다. 어려우시다는 말씀을 드립니다. 
그럼 방법은 없나요? 연기가 가능할까요?,연기가 가능하실지는 해당 예식장에 문의를 해보셔야 할 것 같습니다. 
물어보면 답이 나올까요,그래도 업체에서 연기가 가능하다고 하면 연기를 진행하는 편이 나으실것 같습니다. 
소규모도 진행이 안됩니까?,"당사자 제외 20명 제한인데, 그럼 예식의 의미가 없으실 것 같습니다. "
식사를 안한다면 가능한가요,식사를 안하시는 것도 방법이기는 한데 일단 20명이상 모임이 불가 하십니다. 
그럼 예식장에 일단 연기가 가능한지 물어봐야 겠네요,네 그렇시는 것이 좋을 것 같습니다. 
알겠습니다. 수고하세요. ,결혼을 축하드립니다. 
나른 나라에서 온 사람들은 코로나 입원비 어떻게 해요?,그건 케이스마다 다릅니다 
그래요?,8월 17일 입국자 이후 확진된 해외유입 외국인에게 부담됩니다.
방역 어긴 사람도 해줘요?,8월 24일 이후 귀책사유가 있는 해외유입 확진 외국인에게 부답됩니다. 
지원해주는 나라는 어떻게 되요?,비필수 비급여를 제외하고 그 나라에서 전액 지원 됩니다. 
조건부 지원국가는 어때요?,"격리실입원료는 지원되구요 치료비, 식비는 본인부담 입니다."
미지원 국가는요?,전액 본인부담으로 진행합니다. 
지원되는 국가를 더 자세히 알고싶은데 어떻해요?,코로나19홈페이지에 정기적으로 게시가 됩니다.
콜센터도 가능한가요?,OOOO콜센터로 문의하시길 바랍니다. 
번호 몇번이예요?,OOOO를 누르시고 1번 눌러주시면 됩니다.
다른나라말로 되요?,아니요
러시아에서 백신 만들어졌다는 말이 많던데 맞나요? ,지난 8월 러시아에서 코로나 백신을 들록했다고 합니다.
지금 살 수 있나요?,아직 판매되고 있지 않습니다. 
임상 실험도 끝난 건가요? ,러시아에서 발표한 바로는 그렇습니다.
믿을 만 한건가요?,러시아에서 구체적인 자료는 공개하지 않고 있습니다. 
그거 판매되면 우리나라도 그거 사나요?,안정성 입증이 우선 되어야 할 것 같습니다. 
그럼 백신 살 준비를 안하고 있나요? ,해외 백신 확보를 위한 논의가 이루어지고 있습니다. 
전국민이 맞으려면 백신이 많이 필요할텐데 다 확보할 수 있을까요? ,1단계로 3000만명 분량의 백신을 확보한다는 계획이 있습니다. 
그럼 전국민이 다 맞을 양이 아닌거죠?,네 그렇습니다. 
그럼 누가 먼저 맞는 거예요?,논의 중에 있습니다. 
주사 비용은 비쌀까요?,가격 또한 논의를 거쳐야 합니다. 
코로나 백신 개발 얘기 들리던데 백신 개발되면 다 맞는 거에요? ,"방역당국은 단계적인 예방접종 전략을 완성하고, 필요한 모든 조치를 점검하며 대비하고 있습니다. "
백신 맞으면 이제 코로나 걱정 없는 거죠? ,백신만으로 코로나가 종식 될 것이라 예측되진 않습니다.
그러면 어떡해요?,당장은 거리두기 일상화를 통해 방역 효과를 지속적으로 하는 것이 가장 중요하다고 생각합니다. 
백신을 맞아도 종식선언 전엔 거리두기를 계속 해야 하는 군요.,네 그렇습니다.
종식이 되긴 하겠죠?,빠른 종식이 오도록 노력하고 있습니다. 
코로나 이전의 세상은 이제 없다더니 그 말이 맞군요.,백신의 효과는 한정적일 수 있기 때문에 거리두기가 일상화된 새로운 일상에 적응이 필요할 것으로 보입니다. 
너무 길어지니 지치네요.,네 기간이 길어져 지치시겠지만 끝까지 방역 지침 지켜주시기 바랍니다. 
네 다들 힘들테니 더 힘드신 분들 생각해서 노력해야겠네요. ,네 노력해주셔서 감사합니다. 
아닙니다.,더 궁금한 점 있으신가요? 
"아니요, 없어요. ",네 즐거운 하루되세요. 
코로나 백신 문의해도 되나요?,네 어떤것을 도와드릴까요?
백신은 나오기는 하나요?,현재 개발단계입니다. 
임상실험 들어갔다고 들었는데요?,현재 백신관련 거짓정보가 많은 실태입니다. 
그걸 어떻게 구분해서 봐야하나요?,일단 백신이 개발되면 정부에서 바로 안내를 해드릴겁니다. 
개발 단계가 어떻게 되나요?,아직 국내에서도 실험 단계에 있습니다. 
그럼 언제쯤 백신이 나올까요?,현재로썬 알수가 없습니다. 
그럼 방법이 없나요?,백신이 나오기 전까진 방역에 총력을 기울이고 있습니다. 
코로나 한번걸리면 완치없이 부작용도 많다던데 사실인가요?,많은 사례가 있습니다. 부작용은 극히 일부입니다. 
무서워요.,최대한 접촉 줄이시고 마스크 착용 및 손소독 부탁드립니다. 
백신이 필요해요. ,네 건강 유의하십시오. 
다음달 결혼식 진행해도 되나요?,지역은요?
세종이요,네 대전은 거리두기 2단계라 현재로선 가능합니다. 
3단계로 변경될 가능성 있지 않나요?,확진세에 따라 결정되기 때문에 현재로선 알수 없습니다. 
3단계이면 어떻게 하나요?,10인이상 집합이 금지되기때문에 취소해야할 수도 있습니다. 
몇명이상 가능한데요?,50인 이상 가능합니다. 
"신랑, 신부 포함이요?",당사자는 제외하고 50명 제한입니다. 
뷔폐는요?,식사 외엔 마스크를 쓰시면 가능하십니다. 
주의사항이 또 있나아ㅛ?,테이블간 거리두기도 해야합니다. 
네. ,감사합니다.
해외유입 외국인은 격리입원치료비를 부담하나요?,적용대상과 시기가 있습니다.
적용대상이 언제이죠?,8월 17일 입국자 이후 확진된 해외유입 외국인에게 부담됩니다.
방역조치 위반자도 포함이 되나요?,8월 24일 이후 귀책사유가 있는 해외유입 확진 외국인에게 부답됩니다. 
지원국가에 대해서 어떻게 되나요?,비필수 비급여를 제외하고 지원국가에서 전액 지원 됩니다. 
조건부 지원국가는요?,"격리실입원료를 지원하고 치료비, 식비에 대해서는 본인부담 입니다."
미지원 국가는요?,전액 본인부담입니다.
지원되는 국가들을 자세히 알고싶은데 어떻게 하나요?,코로나19홈페이지에 매달 게시가 됩니다.
콜센터도 가능한가요?,OOOO콜센터로 문의하시길 바랍니다. 
ARS 몇번으로 들어가야 하나요?,OOOO를 누르시고 5번 눌러주시면 됩니다.
외국어도 가능한가요?,불가합니다.
코로나 백신 문의합니다. ,네 어떤것을 도와드릴까요?
지금 백신 나왔나요?,현재 개발단계입니다. 
최근 기사에서 임상실험 들어갔다고 하던데요?,현재 백신관련 거짓정보가 많은 실태입니다. 
그걸 어떻게 구분해서 봐야하나요?,일단 백신이 개발되면 정부에서 바로 안내를 해드릴겁니다. 
그럼 지금 백신 개발 단계가 어떻게 되나요?,아직 국내에서도 실험 단계에 있습니다. 
그럼 언제쯤 백신이 나올까요?,현재로썬 알수가 없습니다. 
그럼 계속 코로나에 시달려야하나요?,백신이 나오기 전까진 방역에 총력을 기울이고 있습니다. 
코로나 한번걸리면 완치없이 부작용도 많다던데 사실인가요?,많은 사례가 있습니다. 부작용은 극히 일부입니다. 
그래도.. 폐가 완전히 망가지는 거라던데 무서워서 살 수가 없어요. ,최대한 접촉 줄이시고 마스크 착용 및 손소독 부탁드립니다. 
네. 얼른 백신 좀 나오게 해주세요. ,네 건강 유의하십시오. 
제가 다음달에 결혼을 하는데 결혼식 진행해도 되나요?,지역이 어디신가요?
대전이요. ,네 대전은 거리두기 2단계라 현재로선 가능합니다. 
3단계로 변경될 가능성 있나요?,확진세에 따라 결정되기 때문에 현재로선 알수 없습니다. 
그럼 3단계로 바뀌면 어떻게 하나요?,10인이상 집합이 금지되기때문에 취소해야할 수도 있습니다. 
지금은 몇명이상 가능한데요?,50인 이상 가능합니다. 
결혼 당사자 포함이요?,당사자는 제외하고 50명 제한입니다. 
그럼 뷔페도 진행해도 될까요?,식사 외엔 마스크를 쓰시면 가능하십니다. 
또 다른 주의사항 있나요?,테이블간 거리두기도 해야합니다. 
